"length","formula"
11,"(A=#)|(#>#)"
11,"(A=#)|(A=A)"
11,"(A=#)|(B=B)"
11,"(A=#)|(#=#)"
8,"(B=A)|~#"
11,"(B=A)|(A|B)"
11,"(B=A)|(B|A)"
11,"(B=A)|(A>A)"
11,"(B=A)|(B>B)"
11,"(B=A)|(#>A)"
11,"(B=A)|(#>B)"
11,"(B=A)|(#>#)"
11,"(B=A)|(A=A)"
11,"(B=A)|(B=B)"
11,"(B=A)|(#=#)"
8,"(B=B)|~A"
8,"(B=B)|~B"
8,"(B=B)|~#"
8,"(B=B)|+A"
8,"(B=B)|+B"
8,"(B=B)|+#"
8,"(B=B)|-A"
8,"(B=B)|-B"
8,"(B=B)|-#"
11,"(B=B)|(B&B)"
11,"(B=B)|(A|A)"
11,"(B=B)|(A|B)"
11,"(B=B)|(A|#)"
11,"(B=B)|(B|A)"
11,"(B=B)|(B|B)"
11,"(B=B)|(B|#)"
11,"(B=B)|(#|A)"
11,"(B=B)|(#|B)"
11,"(B=B)|(#|#)"
11,"(B=B)|(A>A)"
11,"(B=B)|(A>B)"
11,"(B=B)|(A>#)"
11,"(B=B)|(B>A)"
11,"(B=B)|(B>B)"
11,"(B=B)|(B>#)"
11,"(B=B)|(#>A)"
11,"(B=B)|(#>B)"
11,"(B=B)|(#>#)"
11,"(B=B)|(A=A)"
11,"(B=B)|(B=B)"
11,"(B=B)|(#=#)"
8,"(B=#)|~#"
11,"(B=#)|(B&B)"
11,"(B=#)|(A|B)"
11,"(B=#)|(B|A)"
11,"(B=#)|(B|B)"
11,"(B=#)|(B|#)"
11,"(B=#)|(#|B)"
11,"(B=#)|(A>A)"
11,"(B=#)|(A>B)"
11,"(B=#)|(B>B)"
11,"(B=#)|(#>A)"
11,"(B=#)|(#>B)"
11,"(B=#)|(#>#)"
11,"(B=#)|(A=A)"
11,"(B=#)|(B=B)"
11,"(B=#)|(#=#)"
8,"(#=A)|~#"
11,"(#=A)|(A&A)"
11,"(#=A)|(A|A)"
11,"(#=A)|(A|B)"
11,"(#=A)|(A|#)"
11,"(#=A)|(B|A)"
11,"(#=A)|(#|A)"
11,"(#=A)|(A>A)"
11,"(#=A)|(B>A)"
11,"(#=A)|(B>B)"
11,"(#=A)|(#>A)"
11,"(#=A)|(#>B)"
11,"(#=A)|(#>#)"
11,"(#=A)|(A=A)"
11,"(#=A)|(B=B)"
11,"(#=A)|(#=#)"
8,"(#=B)|~#"
11,"(#=B)|(B&B)"
11,"(#=B)|(A|B)"
11,"(#=B)|(B|A)"
11,"(#=B)|(B|B)"
11,"(#=B)|(B|#)"
11,"(#=B)|(#|B)"
11,"(#=B)|(A>A)"
11,"(#=B)|(A>B)"
11,"(#=B)|(B>B)"
11,"(#=B)|(#>A)"
11,"(#=B)|(#>B)"
11,"(#=B)|(#>#)"
11,"(#=B)|(A=A)"
11,"(#=B)|(B=B)"
11,"(#=B)|(#=#)"
8,"(#=#)|~A"
8,"(#=#)|~B"
8,"(#=#)|~#"
8,"(#=#)|+A"
8,"(#=#)|+B"
8,"(#=#)|+#"
8,"(#=#)|-A"
8,"(#=#)|-B"
8,"(#=#)|-#"
11,"(#=#)|(A&A)"
11,"(#=#)|(A&B)"
11,"(#=#)|(A&#)"
11,"(#=#)|(B&A)"
11,"(#=#)|(B&B)"
11,"(#=#)|(B&#)"
11,"(#=#)|(#&A)"
11,"(#=#)|(#&B)"
11,"(#=#)|(#&#)"
11,"(#=#)|(A|A)"
11,"(#=#)|(A|B)"
11,"(#=#)|(A|#)"
11,"(#=#)|(B|A)"
11,"(#=#)|(B|B)"
11,"(#=#)|(B|#)"
11,"(#=#)|(#|A)"
11,"(#=#)|(#|B)"
11,"(#=#)|(#|#)"
11,"(#=#)|(A>A)"
11,"(#=#)|(A>B)"
11,"(#=#)|(A>#)"
11,"(#=#)|(B>A)"
11,"(#=#)|(B>B)"
11,"(#=#)|(B>#)"
11,"(#=#)|(#>A)"
11,"(#=#)|(#>B)"
11,"(#=#)|(#>#)"
11,"(#=#)|(A=A)"
11,"(#=#)|(A=B)"
11,"(#=#)|(A=#)"
11,"(#=#)|(B=A)"
11,"(#=#)|(B=B)"
11,"(#=#)|(B=#)"
11,"(#=#)|(#=A)"
11,"(#=#)|(#=B)"
11,"(#=#)|(#=#)"
5,"~A>~A"
5,"~A>~#"
8,"~A>(A>A)"
8,"~A>(A>B)"
8,"~A>(A>#)"
8,"~A>(B>B)"
8,"~A>(#>A)"
8,"~A>(#>B)"
8,"~A>(#>#)"
8,"~A>(A=A)"
8,"~A>(A=#)"
8,"~A>(B=B)"
8,"~A>(#=A)"
8,"~A>(#=#)"
5,"~B>~B"
5,"~B>~#"
8,"~B>(A>A)"
8,"~B>(B>A)"
8,"~B>(B>B)"
8,"~B>(B>#)"
8,"~B>(#>A)"
8,"~B>(#>B)"
8,"~B>(#>#)"
8,"~B>(A=A)"
8,"~B>(B=B)"
8,"~B>(B=#)"
8,"~B>(#=B)"
8,"~B>(#=#)"
5,"~#>~#"
8,"~#>(A>A)"
8,"~#>(B>B)"
8,"~#>(#>A)"
8,"~#>(#>B)"
8,"~#>(#>#)"
8,"~#>(A=A)"
8,"~#>(B=B)"
8,"~#>(#=#)"
5,"+A>~#"
5,"+A>+A"
8,"+A>(A>A)"
8,"+A>(B>B)"
8,"+A>(#>A)"
8,"+A>(#>B)"
8,"+A>(#>#)"
8,"+A>(A=A)"
8,"+A>(B=B)"
8,"+A>(#=#)"
5,"+B>~#"
5,"+B>+B"
8,"+B>(A>A)"
8,"+B>(B>B)"
8,"+B>(#>A)"
8,"+B>(#>B)"
8,"+B>(#>#)"
8,"+B>(A=A)"
8,"+B>(B=B)"
8,"+B>(#=#)"
5,"+#>~#"
5,"+#>+A"
5,"+#>+#"
8,"+#>(A>A)"
8,"+#>(B>B)"
8,"+#>(#>A)"
8,"+#>(#>B)"
8,"+#>(#>#)"
8,"+#>(A=A)"
8,"+#>(B=B)"
8,"+#>(#=#)"
5,"-A>~#"
5,"-A>-A"
8,"-A>(A>A)"
8,"-A>(B>B)"
8,"-A>(#>A)"
8,"-A>(#>B)"
8,"-A>(#>#)"
8,"-A>(A=A)"
8,"-A>(B=B)"
8,"-A>(#=#)"
5,"-B>~#"
5,"-B>-B"
8,"-B>(A>A)"
8,"-B>(B>B)"
8,"-B>(#>A)"
8,"-B>(#>B)"
8,"-B>(#>#)"
8,"-B>(A=A)"
8,"-B>(B=B)"
8,"-B>(#=#)"
5,"-#>~A"
5,"-#>~B"
5,"-#>~#"
5,"-#>+A"
5,"-#>+B"
5,"-#>+#"
5,"-#>-A"
5,"-#>-B"
5,"-#>-#"
8,"-#>(A&A)"
8,"-#>(A&B)"
8,"-#>(A&#)"
8,"-#>(B&A)"
8,"-#>(B&B)"
8,"-#>(B&#)"
8,"-#>(#&A)"
8,"-#>(#&B)"
8,"-#>(#&#)"
8,"-#>(A|A)"
8,"-#>(A|B)"
8,"-#>(A|#)"
8,"-#>(B|A)"
8,"-#>(B|B)"
8,"-#>(B|#)"
8,"-#>(#|A)"
8,"-#>(#|B)"
8,"-#>(#|#)"
8,"-#>(A>A)"
8,"-#>(A>B)"
8,"-#>(A>#)"
8,"-#>(B>A)"
8,"-#>(B>B)"
8,"-#>(B>#)"
8,"-#>(#>A)"
8,"-#>(#>B)"
8,"-#>(#>#)"
8,"-#>(A=A)"
8,"-#>(A=B)"
8,"-#>(A=#)"
8,"-#>(B=A)"
8,"-#>(B=B)"
8,"-#>(B=#)"
8,"-#>(#=A)"
8,"-#>(#=B)"
8,"-#>(#=#)"
8,"(A&A)>~#"
11,"(A&A)>(A&A)"
11,"(A&A)>(A|A)"
11,"(A&A)>(A|B)"
11,"(A&A)>(A|#)"
11,"(A&A)>(B|A)"
11,"(A&A)>(#|A)"
11,"(A&A)>(A>A)"
11,"(A&A)>(B>A)"
11,"(A&A)>(B>B)"
11,"(A&A)>(#>A)"
11,"(A&A)>(#>B)"
11,"(A&A)>(#>#)"
11,"(A&A)>(A=A)"
11,"(A&A)>(B=B)"
11,"(A&A)>(#=#)"
8,"(A&B)>~#"
11,"(A&B)>(A&A)"
11,"(A&B)>(A&B)"
11,"(A&B)>(B&A)"
11,"(A&B)>(B&B)"
11,"(A&B)>(A|A)"
11,"(A&B)>(A|B)"
11,"(A&B)>(A|#)"
11,"(A&B)>(B|A)"
11,"(A&B)>(B|B)"
11,"(A&B)>(B|#)"
11,"(A&B)>(#|A)"
11,"(A&B)>(#|B)"
11,"(A&B)>(A>A)"
11,"(A&B)>(A>B)"
11,"(A&B)>(B>A)"
11,"(A&B)>(B>B)"
11,"(A&B)>(#>A)"
11,"(A&B)>(#>B)"
11,"(A&B)>(#>#)"
11,"(A&B)>(A=A)"
11,"(A&B)>(A=B)"
11,"(A&B)>(B=A)"
11,"(A&B)>(B=B)"
11,"(A&B)>(#=#)"
8,"(A&#)>~A"
8,"(A&#)>~B"
8,"(A&#)>~#"
8,"(A&#)>+A"
8,"(A&#)>+B"
8,"(A&#)>+#"
8,"(A&#)>-A"
8,"(A&#)>-B"
8,"(A&#)>-#"
11,"(A&#)>(A&A)"
11,"(A&#)>(A&B)"
11,"(A&#)>(A&#)"
11,"(A&#)>(B&A)"
11,"(A&#)>(B&B)"
11,"(A&#)>(B&#)"
11,"(A&#)>(#&A)"
11,"(A&#)>(#&B)"
11,"(A&#)>(#&#)"
11,"(A&#)>(A|A)"
11,"(A&#)>(A|B)"
11,"(A&#)>(A|#)"
11,"(A&#)>(B|A)"
11,"(A&#)>(B|B)"
11,"(A&#)>(B|#)"
11,"(A&#)>(#|A)"
11,"(A&#)>(#|B)"
11,"(A&#)>(#|#)"
11,"(A&#)>(A>A)"
11,"(A&#)>(A>B)"
11,"(A&#)>(A>#)"
11,"(A&#)>(B>A)"
11,"(A&#)>(B>B)"
11,"(A&#)>(B>#)"
11,"(A&#)>(#>A)"
11,"(A&#)>(#>B)"
11,"(A&#)>(#>#)"
11,"(A&#)>(A=A)"
11,"(A&#)>(A=B)"
11,"(A&#)>(A=#)"
11,"(A&#)>(B=A)"
11,"(A&#)>(B=B)"
11,"(A&#)>(B=#)"
11,"(A&#)>(#=A)"
11,"(A&#)>(#=B)"
11,"(A&#)>(#=#)"
8,"(B&A)>~#"
11,"(B&A)>(A&A)"
11,"(B&A)>(A&B)"
11,"(B&A)>(B&A)"
11,"(B&A)>(B&B)"
11,"(B&A)>(A|A)"
11,"(B&A)>(A|B)"
11,"(B&A)>(A|#)"
11,"(B&A)>(B|A)"
11,"(B&A)>(B|B)"
11,"(B&A)>(B|#)"
11,"(B&A)>(#|A)"
11,"(B&A)>(#|B)"
11,"(B&A)>(A>A)"
11,"(B&A)>(A>B)"
11,"(B&A)>(B>A)"
11,"(B&A)>(B>B)"
11,"(B&A)>(#>A)"
11,"(B&A)>(#>B)"
11,"(B&A)>(#>#)"
11,"(B&A)>(A=A)"
11,"(B&A)>(A=B)"
11,"(B&A)>(B=A)"
11,"(B&A)>(B=B)"
11,"(B&A)>(#=#)"
8,"(B&B)>~#"
11,"(B&B)>(B&B)"
11,"(B&B)>(A|B)"
11,"(B&B)>(B|A)"
11,"(B&B)>(B|B)"
11,"(B&B)>(B|#)"
11,"(B&B)>(#|B)"
11,"(B&B)>(A>A)"
11,"(B&B)>(A>B)"
11,"(B&B)>(B>B)"
11,"(B&B)>(#>A)"
11,"(B&B)>(#>B)"
11,"(B&B)>(#>#)"
11,"(B&B)>(A=A)"
11,"(B&B)>(B=B)"
11,"(B&B)>(#=#)"
8,"(B&#)>~A"
8,"(B&#)>~B"
8,"(B&#)>~#"
8,"(B&#)>+A"
8,"(B&#)>+B"
8,"(B&#)>+#"
8,"(B&#)>-A"
8,"(B&#)>-B"
8,"(B&#)>-#"
11,"(B&#)>(A&A)"
11,"(B&#)>(A&B)"
11,"(B&#)>(A&#)"
11,"(B&#)>(B&A)"
11,"(B&#)>(B&B)"
11,"(B&#)>(B&#)"
11,"(B&#)>(#&A)"
11,"(B&#)>(#&B)"
11,"(B&#)>(#&#)"
11,"(B&#)>(A|A)"
11,"(B&#)>(A|B)"
11,"(B&#)>(A|#)"
11,"(B&#)>(B|A)"
11,"(B&#)>(B|B)"
11,"(B&#)>(B|#)"
11,"(B&#)>(#|A)"
11,"(B&#)>(#|B)"
11,"(B&#)>(#|#)"
11,"(B&#)>(A>A)"
11,"(B&#)>(A>B)"
11,"(B&#)>(A>#)"
11,"(B&#)>(B>A)"
11,"(B&#)>(B>B)"
11,"(B&#)>(B>#)"
11,"(B&#)>(#>A)"
11,"(B&#)>(#>B)"
11,"(B&#)>(#>#)"
11,"(B&#)>(A=A)"
11,"(B&#)>(A=B)"
11,"(B&#)>(A=#)"
11,"(B&#)>(B=A)"
11,"(B&#)>(B=B)"
11,"(B&#)>(B=#)"
11,"(B&#)>(#=A)"
11,"(B&#)>(#=B)"
11,"(B&#)>(#=#)"
8,"(#&A)>~A"
8,"(#&A)>~B"
8,"(#&A)>~#"
8,"(#&A)>+A"
8,"(#&A)>+B"
8,"(#&A)>+#"
8,"(#&A)>-A"
8,"(#&A)>-B"
8,"(#&A)>-#"
11,"(#&A)>(A&A)"
11,"(#&A)>(A&B)"
11,"(#&A)>(A&#)"
11,"(#&A)>(B&A)"
11,"(#&A)>(B&B)"
11,"(#&A)>(B&#)"
11,"(#&A)>(#&A)"
11,"(#&A)>(#&B)"
11,"(#&A)>(#&#)"
11,"(#&A)>(A|A)"
11,"(#&A)>(A|B)"
11,"(#&A)>(A|#)"
11,"(#&A)>(B|A)"
11,"(#&A)>(B|B)"
11,"(#&A)>(B|#)"
11,"(#&A)>(#|A)"
11,"(#&A)>(#|B)"
11,"(#&A)>(#|#)"
11,"(#&A)>(A>A)"
11,"(#&A)>(A>B)"
11,"(#&A)>(A>#)"
11,"(#&A)>(B>A)"
11,"(#&A)>(B>B)"
11,"(#&A)>(B>#)"
11,"(#&A)>(#>A)"
11,"(#&A)>(#>B)"
11,"(#&A)>(#>#)"
11,"(#&A)>(A=A)"
11,"(#&A)>(A=B)"
11,"(#&A)>(A=#)"
11,"(#&A)>(B=A)"
11,"(#&A)>(B=B)"
11,"(#&A)>(B=#)"
11,"(#&A)>(#=A)"
11,"(#&A)>(#=B)"
11,"(#&A)>(#=#)"
8,"(#&B)>~A"
8,"(#&B)>~B"
8,"(#&B)>~#"
8,"(#&B)>+A"
8,"(#&B)>+B"
8,"(#&B)>+#"
8,"(#&B)>-A"
8,"(#&B)>-B"
8,"(#&B)>-#"
11,"(#&B)>(A&A)"
11,"(#&B)>(A&B)"
11,"(#&B)>(A&#)"
11,"(#&B)>(B&A)"
11,"(#&B)>(B&B)"
11,"(#&B)>(B&#)"
11,"(#&B)>(#&A)"
11,"(#&B)>(#&B)"
11,"(#&B)>(#&#)"
11,"(#&B)>(A|A)"
11,"(#&B)>(A|B)"
11,"(#&B)>(A|#)"
11,"(#&B)>(B|A)"
11,"(#&B)>(B|B)"
11,"(#&B)>(B|#)"
11,"(#&B)>(#|A)"
11,"(#&B)>(#|B)"
11,"(#&B)>(#|#)"
11,"(#&B)>(A>A)"
11,"(#&B)>(A>B)"
11,"(#&B)>(A>#)"
11,"(#&B)>(B>A)"
11,"(#&B)>(B>B)"
11,"(#&B)>(B>#)"
11,"(#&B)>(#>A)"
11,"(#&B)>(#>B)"
11,"(#&B)>(#>#)"
11,"(#&B)>(A=A)"
11,"(#&B)>(A=B)"
11,"(#&B)>(A=#)"
11,"(#&B)>(B=A)"
11,"(#&B)>(B=B)"
11,"(#&B)>(B=#)"
11,"(#&B)>(#=A)"
11,"(#&B)>(#=B)"
11,"(#&B)>(#=#)"
8,"(#&#)>~A"
8,"(#&#)>~B"
8,"(#&#)>~#"
8,"(#&#)>+A"
8,"(#&#)>+B"
8,"(#&#)>+#"
8,"(#&#)>-A"
8,"(#&#)>-B"
8,"(#&#)>-#"
11,"(#&#)>(A&A)"
11,"(#&#)>(A&B)"
11,"(#&#)>(A&#)"
11,"(#&#)>(B&A)"
11,"(#&#)>(B&B)"
11,"(#&#)>(B&#)"
11,"(#&#)>(#&A)"
11,"(#&#)>(#&B)"
11,"(#&#)>(#&#)"
11,"(#&#)>(A|A)"
11,"(#&#)>(A|B)"
11,"(#&#)>(A|#)"
11,"(#&#)>(B|A)"
11,"(#&#)>(B|B)"
11,"(#&#)>(B|#)"
11,"(#&#)>(#|A)"
11,"(#&#)>(#|B)"
11,"(#&#)>(#|#)"
11,"(#&#)>(A>A)"
11,"(#&#)>(A>B)"
11,"(#&#)>(A>#)"
11,"(#&#)>(B>A)"
11,"(#&#)>(B>B)"
11,"(#&#)>(B>#)"
11,"(#&#)>(#>A)"
11,"(#&#)>(#>B)"
11,"(#&#)>(#>#)"
11,"(#&#)>(A=A)"
11,"(#&#)>(A=B)"
11,"(#&#)>(A=#)"
11,"(#&#)>(B=A)"
11,"(#&#)>(B=B)"
11,"(#&#)>(B=#)"
11,"(#&#)>(#=A)"
11,"(#&#)>(#=B)"
11,"(#&#)>(#=#)"
8,"(A|A)>~#"
11,"(A|A)>(A&A)"
11,"(A|A)>(A|A)"
11,"(A|A)>(A|B)"
11,"(A|A)>(A|#)"
11,"(A|A)>(B|A)"
11,"(A|A)>(#|A)"
11,"(A|A)>(A>A)"
11,"(A|A)>(B>A)"
11,"(A|A)>(B>B)"
11,"(A|A)>(#>A)"
11,"(A|A)>(#>B)"
11,"(A|A)>(#>#)"
11,"(A|A)>(A=A)"
11,"(A|A)>(B=B)"
11,"(A|A)>(#=#)"
8,"(A|B)>~#"
11,"(A|B)>(A|B)"
11,"(A|B)>(B|A)"
11,"(A|B)>(A>A)"
11,"(A|B)>(B>B)"
11,"(A|B)>(#>A)"
11,"(A|B)>(#>B)"
11,"(A|B)>(#>#)"
11,"(A|B)>(A=A)"
11,"(A|B)>(B=B)"
11,"(A|B)>(#=#)"
8,"(A|#)>~#"
11,"(A|#)>(A&A)"
11,"(A|#)>(A|A)"
11,"(A|#)>(A|B)"
11,"(A|#)>(A|#)"
11,"(A|#)>(B|A)"
11,"(A|#)>(#|A)"
11,"(A|#)>(A>A)"
11,"(A|#)>(B>A)"
11,"(A|#)>(B>B)"
11,"(A|#)>(#>A)"
11,"(A|#)>(#>B)"
11,"(A|#)>(#>#)"
11,"(A|#)>(A=A)"
11,"(A|#)>(B=B)"
11,"(A|#)>(#=#)"
8,"(B|A)>~#"
11,"(B|A)>(A|B)"
11,"(B|A)>(B|A)"
11,"(B|A)>(A>A)"
11,"(B|A)>(B>B)"
11,"(B|A)>(#>A)"
11,"(B|A)>(#>B)"
11,"(B|A)>(#>#)"
11,"(B|A)>(A=A)"
11,"(B|A)>(B=B)"
11,"(B|A)>(#=#)"
8,"(B|B)>~#"
11,"(B|B)>(B&B)"
11,"(B|B)>(A|B)"
11,"(B|B)>(B|A)"
11,"(B|B)>(B|B)"
11,"(B|B)>(B|#)"
11,"(B|B)>(#|B)"
11,"(B|B)>(A>A)"
11,"(B|B)>(A>B)"
11,"(B|B)>(B>B)"
11,"(B|B)>(#>A)"
11,"(B|B)>(#>B)"
11,"(B|B)>(#>#)"
11,"(B|B)>(A=A)"
11,"(B|B)>(B=B)"
11,"(B|B)>(#=#)"
8,"(B|#)>~#"
11,"(B|#)>(B&B)"
11,"(B|#)>(A|B)"
11,"(B|#)>(B|A)"
11,"(B|#)>(B|B)"
11,"(B|#)>(B|#)"
11,"(B|#)>(#|B)"
11,"(B|#)>(A>A)"
11,"(B|#)>(A>B)"
11,"(B|#)>(B>B)"
11,"(B|#)>(#>A)"
11,"(B|#)>(#>B)"
11,"(B|#)>(#>#)"
11,"(B|#)>(A=A)"
11,"(B|#)>(B=B)"
11,"(B|#)>(#=#)"
8,"(#|A)>~#"
11,"(#|A)>(A&A)"
11,"(#|A)>(A|A)"
11,"(#|A)>(A|B)"
11,"(#|A)>(A|#)"
11,"(#|A)>(B|A)"
11,"(#|A)>(#|A)"
11,"(#|A)>(A>A)"
11,"(#|A)>(B>A)"
11,"(#|A)>(B>B)"
11,"(#|A)>(#>A)"
11,"(#|A)>(#>B)"
11,"(#|A)>(#>#)"
11,"(#|A)>(A=A)"
11,"(#|A)>(B=B)"
11,"(#|A)>(#=#)"
8,"(#|B)>~#"
11,"(#|B)>(B&B)"
11,"(#|B)>(A|B)"
11,"(#|B)>(B|A)"
11,"(#|B)>(B|B)"
11,"(#|B)>(B|#)"
11,"(#|B)>(#|B)"
11,"(#|B)>(A>A)"
11,"(#|B)>(A>B)"
11,"(#|B)>(B>B)"
11,"(#|B)>(#>A)"
11,"(#|B)>(#>B)"
11,"(#|B)>(#>#)"
11,"(#|B)>(A=A)"
11,"(#|B)>(B=B)"
11,"(#|B)>(#=#)"
8,"(#|#)>~A"
8,"(#|#)>~B"
8,"(#|#)>~#"
8,"(#|#)>+A"
8,"(#|#)>+B"
8,"(#|#)>+#"
8,"(#|#)>-A"
8,"(#|#)>-B"
8,"(#|#)>-#"
11,"(#|#)>(A&A)"
11,"(#|#)>(A&B)"
11,"(#|#)>(A&#)"
11,"(#|#)>(B&A)"
11,"(#|#)>(B&B)"
11,"(#|#)>(B&#)"
11,"(#|#)>(#&A)"
11,"(#|#)>(#&B)"
11,"(#|#)>(#&#)"
11,"(#|#)>(A|A)"
11,"(#|#)>(A|B)"
11,"(#|#)>(A|#)"
11,"(#|#)>(B|A)"
11,"(#|#)>(B|B)"
11,"(#|#)>(B|#)"
11,"(#|#)>(#|A)"
11,"(#|#)>(#|B)"
11,"(#|#)>(#|#)"
11,"(#|#)>(A>A)"
11,"(#|#)>(A>B)"
11,"(#|#)>(A>#)"
11,"(#|#)>(B>A)"
11,"(#|#)>(B>B)"
11,"(#|#)>(B>#)"
11,"(#|#)>(#>A)"
11,"(#|#)>(#>B)"
11,"(#|#)>(#>#)"
11,"(#|#)>(A=A)"
11,"(#|#)>(A=B)"
11,"(#|#)>(A=#)"
11,"(#|#)>(B=A)"
11,"(#|#)>(B=B)"
11,"(#|#)>(B=#)"
11,"(#|#)>(#=A)"
11,"(#|#)>(#=B)"
11,"(#|#)>(#=#)"
8,"(A>A)>~#"
11,"(A>A)>(A>A)"
11,"(A>A)>(B>B)"
11,"(A>A)>(#>A)"
11,"(A>A)>(#>B)"
11,"(A>A)>(#>#)"
11,"(A>A)>(A=A)"
11,"(A>A)>(B=B)"
11,"(A>A)>(#=#)"
8,"(A>B)>~#"
11,"(A>B)>(A>A)"
11,"(A>B)>(A>B)"
11,"(A>B)>(B>B)"
11,"(A>B)>(#>A)"
11,"(A>B)>(#>B)"
11,"(A>B)>(#>#)"
11,"(A>B)>(A=A)"
11,"(A>B)>(B=B)"
11,"(A>B)>(#=#)"
8,"(A>#)>~A"
8,"(A>#)>~#"
11,"(A>#)>(A>A)"
11,"(A>#)>(A>B)"
11,"(A>#)>(A>#)"
11,"(A>#)>(B>B)"
11,"(A>#)>(#>A)"
11,"(A>#)>(#>B)"
11,"(A>#)>(#>#)"
11,"(A>#)>(A=A)"
11,"(A>#)>(A=#)"
11,"(A>#)>(B=B)"
11,"(A>#)>(#=A)"
11,"(A>#)>(#=#)"
8,"(B>A)>~#"
11,"(B>A)>(A>A)"
11,"(B>A)>(B>A)"
11,"(B>A)>(B>B)"
11,"(B>A)>(#>A)"
11,"(B>A)>(#>B)"
11,"(B>A)>(#>#)"
11,"(B>A)>(A=A)"
11,"(B>A)>(B=B)"
11,"(B>A)>(#=#)"
8,"(B>B)>~#"
11,"(B>B)>(A>A)"
11,"(B>B)>(B>B)"
11,"(B>B)>(#>A)"
11,"(B>B)>(#>B)"
11,"(B>B)>(#>#)"
11,"(B>B)>(A=A)"
11,"(B>B)>(B=B)"
11,"(B>B)>(#=#)"
8,"(B>#)>~B"
8,"(B>#)>~#"
11,"(B>#)>(A>A)"
11,"(B>#)>(B>A)"
11,"(B>#)>(B>B)"
11,"(B>#)>(B>#)"
11,"(B>#)>(#>A)"
11,"(B>#)>(#>B)"
11,"(B>#)>(#>#)"
11,"(B>#)>(A=A)"
11,"(B>#)>(B=B)"
11,"(B>#)>(B=#)"
11,"(B>#)>(#=B)"
11,"(B>#)>(#=#)"
8,"(#>A)>~#"
11,"(#>A)>(A>A)"
11,"(#>A)>(B>B)"
11,"(#>A)>(#>A)"
11,"(#>A)>(#>B)"
11,"(#>A)>(#>#)"
11,"(#>A)>(A=A)"
11,"(#>A)>(B=B)"
11,"(#>A)>(#=#)"
8,"(#>B)>~#"
11,"(#>B)>(A>A)"
11,"(#>B)>(B>B)"
11,"(#>B)>(#>A)"
11,"(#>B)>(#>B)"
11,"(#>B)>(#>#)"
11,"(#>B)>(A=A)"
11,"(#>B)>(B=B)"
11,"(#>B)>(#=#)"
8,"(#>#)>~#"
11,"(#>#)>(A>A)"
11,"(#>#)>(B>B)"
11,"(#>#)>(#>A)"
11,"(#>#)>(#>B)"
11,"(#>#)>(#>#)"
11,"(#>#)>(A=A)"
11,"(#>#)>(B=B)"
11,"(#>#)>(#=#)"
8,"(A=A)>~#"
11,"(A=A)>(A>A)"
11,"(A=A)>(B>B)"
11,"(A=A)>(#>A)"
11,"(A=A)>(#>B)"
11,"(A=A)>(#>#)"
11,"(A=A)>(A=A)"
11,"(A=A)>(B=B)"
11,"(A=A)>(#=#)"
8,"(A=B)>~#"
11,"(A=B)>(A>A)"
11,"(A=B)>(A>B)"
11,"(A=B)>(B>A)"
11,"(A=B)>(B>B)"
11,"(A=B)>(#>A)"
11,"(A=B)>(#>B)"
11,"(A=B)>(#>#)"
11,"(A=B)>(A=A)"
11,"(A=B)>(A=B)"
11,"(A=B)>(B=A)"
11,"(A=B)>(B=B)"
11,"(A=B)>(#=#)"
8,"(A=#)>~A"
8,"(A=#)>~#"
11,"(A=#)>(A>A)"
11,"(A=#)>(A>B)"
11,"(A=#)>(A>#)"
11,"(A=#)>(B>B)"
11,"(A=#)>(#>A)"
11,"(A=#)>(#>B)"
11,"(A=#)>(#>#)"
11,"(A=#)>(A=A)"
11,"(A=#)>(A=#)"
11,"(A=#)>(B=B)"
11,"(A=#)>(#=A)"
11,"(A=#)>(#=#)"
8,"(B=A)>~#"
11,"(B=A)>(A>A)"
11,"(B=A)>(A>B)"
11,"(B=A)>(B>A)"
11,"(B=A)>(B>B)"
11,"(B=A)>(#>A)"
11,"(B=A)>(#>B)"
11,"(B=A)>(#>#)"
11,"(B=A)>(A=A)"
11,"(B=A)>(A=B)"
11,"(B=A)>(B=A)"
11,"(B=A)>(B=B)"
11,"(B=A)>(#=#)"
8,"(B=B)>~#"
11,"(B=B)>(A>A)"
11,"(B=B)>(B>B)"
11,"(B=B)>(#>A)"
11,"(B=B)>(#>B)"
11,"(B=B)>(#>#)"
11,"(B=B)>(A=A)"
11,"(B=B)>(B=B)"
11,"(B=B)>(#=#)"
8,"(B=#)>~B"
8,"(B=#)>~#"
11,"(B=#)>(A>A)"
11,"(B=#)>(B>A)"
11,"(B=#)>(B>B)"
11,"(B=#)>(B>#)"
11,"(B=#)>(#>A)"
11,"(B=#)>(#>B)"
11,"(B=#)>(#>#)"
11,"(B=#)>(A=A)"
11,"(B=#)>(B=B)"
11,"(B=#)>(B=#)"
11,"(B=#)>(#=B)"
11,"(B=#)>(#=#)"
8,"(#=A)>~A"
8,"(#=A)>~#"
11,"(#=A)>(A>A)"
11,"(#=A)>(A>B)"
11,"(#=A)>(A>#)"
11,"(#=A)>(B>B)"
11,"(#=A)>(#>A)"
11,"(#=A)>(#>B)"
11,"(#=A)>(#>#)"
11,"(#=A)>(A=A)"
11,"(#=A)>(A=#)"
11,"(#=A)>(B=B)"
11,"(#=A)>(#=A)"
11,"(#=A)>(#=#)"
8,"(#=B)>~B"
8,"(#=B)>~#"
11,"(#=B)>(A>A)"
11,"(#=B)>(B>A)"
